available_bike_stands,surface_pressure,temperature,dew_point,day_of_week
10,987.5,15.6,7.9,3
11,988.1,14.6,8.3,3
13,988.7,13.0,8.8,3
12,988.7,11.8,7.7,3
16,989.0,11.9,6.4,3
17,989.8,10.2,6.2,3
18,989.9,10.1,5.4,3
19,990.3,11.0,6.1,3
20,990.3,11.1,5.2,4
20,990.2,11.4,5.7,4
20,990.2,10.8,5.4,4
20,990.0,10.6,5.3,4
20,989.9,10.1,4.8,4
18,989.6,10.5,5.0,4
19,989.9,10.5,5.1,4
20,989.9,11.8,5.6,4
14,990.6,13.5,5.9,4
14,990.3,15.5,4.2,4
16,989.8,16.7,4.1,4
19,987.2,18.6,3.6,4
20,986.1,19.2,1.2,4
17,985.4,18.7,1.7,4
15,985.1,18.2,0.8,4
14,984.5,17.0,4.9,4
20,984.7,13.4,6.2,4
19,984.7,11.8,4.5,4
17,984.3,10.8,4.0,4
18,983.9,10.2,3.3,4
17,983.4,9.5,3.0,4
19,983.4,8.0,3.0,4
19,982.7,7.8,2.8,5
20,982.1,7.7,3.7,5
20,981.4,6.9,4.3,5
20,980.3,6.1,4.9,5
20,979.9,6.8,5.1,5
20,979.9,6.3,5.0,5
14,979.6,8.4,5.5,5
16,978.5,10.8,5.6,5
18,977.7,14.2,5.5,5
20,976.6,17.1,6.0,5
19,975.7,17.5,6.1,5
20,975.0,19.1,5.5,5
16,974.3,19.7,3.4,5
19,973.5,19.1,4.4,5
19,973.2,17.9,4.1,5
20,973.9,16.4,4.8,5
19,977.0,8.8,2.8,5
19,977.5,7.0,3.3,5
19,979.9,6.8,2.5,5
19,980.2,6.2,2.6,5
20,979.4,6.0,2.4,5
20,979.7,5.9,2.7,5
20,979.5,4.6,2.8,6
20,979.9,3.5,2.0,6
20,979.3,3.7,2.1,6
20,978.9,3.8,2.2,6
20,979.0,3.9,2.7,6
20,978.4,4.9,0.6,6
19,979.0,4.8,1.1,6
19,978.8,5.9,1.6,6
19,979.1,7.7,1.8,6
18,978.6,9.7,2.0,6
19,977.7,10.9,1.4,6
20,977.1,11.7,0.2,6
16,976.2,12.5,-2.2,6
14,975.3,12.9,-1.4,6
14,974.8,12.7,-0.9,6
13,974.9,12.0,-0.5,6
16,975.5,8.7,4.1,6
16,976.8,5.4,2.0,6
17,976.9,4.7,2.2,6
17,977.2,4.3,2.3,6
17,977.1,3.6,1.5,6
20,976.7,3.2,1.3,6
20,977.0,3.3,1.1,6
20,977.1,2.8,0.2,0
20,977.1,2.3,-0.2,0
20,976.9,3.1,-0.8,0
20,977.3,3.4,-1.3,0
20,977.2,3.4,-2.2,0
16,978.3,4.3,-1.7,0
8,978.4,6.7,-1.5,0
12,978.3,9.1,-0.0,0
13,978.2,10.8,-1.6,0
5,978.2,12.0,-3.4,0
5,977.8,12.5,-3.8,0
17,976.7,13.8,-4.9,0
17,976.1,14.0,-4.3,0
19,975.7,13.8,-3.5,0
19,975.4,13.4,-3.0,0
20,975.4,11.9,-1.3,0
16,975.6,9.7,0.0,0
17,975.9,7.6,0.3,0
17,976.0,7.4,-1.0,0
18,975.9,7.1,-2.3,0
18,975.8,6.4,-1.3,0
18,976.2,5.8,-0.7,0
18,976.2,4.3,0.2,1
18,975.9,4.5,-2.1,1
19,975.1,3.8,-2.2,1
19,974.5,2.9,-2.6,1
19,974.1,3.1,-2.3,1
18,973.8,3.1,-2.2,1
16,973.9,4.0,-2.2,1
10,973.8,6.7,-1.9,1
20,973.1,13.9,-3.0,1
15,972.8,14.6,-1.5,1
20,972.0,15.2,-1.4,1
14,971.5,15.3,-0.1,1
14,970.9,15.9,0.4,1
18,970.4,15.3,-0.1,1
16,970.3,14.7,-0.6,1
12,970.4,13.5,0.5,1
15,970.5,12.3,-1.6,1
20,970.4,11.4,-0.4,1
18,970.0,11.0,-0.2,1
17,969.3,10.3,2.4,1
17,969.1,10.0,2.6,1
18,969.2,10.1,2.0,1
19,968.6,10.0,2.1,2
17,968.5,9.7,2.3,2
17,967.9,9.4,2.5,2
17,967.6,9.7,2.1,2
18,967.0,9.1,1.8,2
17,967.0,8.8,2.5,2
17,966.7,8.9,1.7,2
12,966.5,10.0,2.1,2
14,966.9,11.7,4.2,2
15,966.5,13.0,4.4,2
13,965.4,16.7,7.0,2
12,964.3,17.5,7.2,2
6,963.4,18.1,7.5,2
12,962.8,17.8,8.4,2
18,962.2,16.7,9.9,2
20,961.6,15.1,11.1,2
13,961.3,14.3,11.8,2
13,961.1,13.5,12.2,2
13,960.6,13.9,10.3,2
13,960.8,12.9,8.8,2
14,961.0,11.9,6.8,2
16,962.0,11.8,5.8,2
14,961.4,12.2,2.1,3
15,960.8,11.5,1.4,3
15,962.2,11.0,0.1,3
15,963.4,10.6,0.3,3
15,963.9,10.1,1.2,3
12,965.4,10.4,2.0,3
14,966.4,11.8,1.7,3
10,966.9,13.4,1.7,3
12,967.8,14.6,2.2,3
12,968.5,15.9,2.0,3
10,969.9,15.6,3.1,3
14,969.8,15.2,4.0,3
17,970.0,14.4,5.2,3
20,970.2,12.1,6.2,3
13,969.4,12.2,6.0,3
14,969.1,11.7,7.2,3
13,969.3,10.6,7.8,3
13,969.5,9.9,8.4,3
9,971.8,10.0,8.2,3
12,975.0,9.9,7.1,3
14,977.1,8.5,3.1,3
14,977.1,7.4,3.8,3
15,978.4,6.5,4.0,4
15,979.0,6.1,4.8,4
15,979.3,5.8,4.7,4
15,979.7,5.3,4.2,4
15,979.7,5.1,3.6,4
15,980.1,4.9,3.4,4
15,980.3,5.4,3.7,4
6,980.3,7.3,4.7,4
12,980.2,11.5,7.2,4
11,980.1,15.2,8.9,4
13,979.9,18.5,7.3,4
18,979.8,18.7,8.1,4
14,979.7,18.7,8.9,4
12,979.8,18.8,9.3,4
8,979.4,17.8,9.7,4
20,979.6,17.7,9.3,4
18,979.3,17.4,9.3,4
9,978.4,16.2,9.6,4
10,978.4,16.1,8.3,4
14,978.7,16.5,7.4,4
12,979.1,16.9,6.7,4
8,980.2,16.7,6.5,4
12,980.2,14.8,7.8,4
11,980.5,14.7,6.7,4
13,980.4,14.0,6.8,5
13,980.3,12.1,6.4,5
13,980.2,11.7,6.8,5
14,979.7,10.6,7.5,5
12,979.5,10.7,7.6,5
12,979.5,12.7,8.0,5
12,979.9,14.8,9.1,5
12,979.4,18.5,10.0,5
12,978.9,21.5,5.4,5
11,978.6,21.5,7.3,5
8,977.9,22.0,8.2,5
11,977.3,22.6,6.3,5
9,976.4,22.2,6.4,5
10,976.2,22.1,7.5,5
13,975.5,21.6,7.4,5
12,975.4,20.1,5.7,5
15,976.3,17.1,4.0,5
16,975.7,14.8,5.9,5
15,975.7,14.8,5.9,5
12,976.1,13.8,6.6,5
