available_bike_stands,surface_pressure,dew_point,temperature,day_of_week
5,987.5,7.9,15.6,3
14,988.1,8.3,14.6,3
14,988.7,8.8,13.0,3
14,988.7,7.7,11.8,3
12,989.0,6.4,11.9,3
13,989.8,6.2,10.2,3
13,989.9,5.4,10.1,3
13,990.3,6.1,11.0,3
14,990.3,5.2,11.1,4
13,990.2,5.7,11.4,4
13,990.2,5.4,10.8,4
12,990.0,5.3,10.6,4
12,989.9,4.8,10.1,4
12,989.6,5.0,10.5,4
11,989.9,5.1,10.5,4
4,989.9,5.6,11.8,4
6,990.6,5.9,13.5,4
2,990.3,4.2,15.5,4
2,989.8,4.1,16.7,4
0,987.2,3.6,18.6,4
8,986.1,1.2,19.2,4
16,985.4,1.7,18.7,4
9,985.1,0.8,18.2,4
12,984.5,4.9,17.0,4
13,984.7,6.2,13.4,4
15,984.7,4.5,11.8,4
12,984.3,4.0,10.8,4
11,983.9,3.3,10.2,4
12,983.4,3.0,9.5,4
12,983.4,3.0,8.0,4
13,982.7,2.8,7.8,5
12,982.1,3.7,7.7,5
12,981.4,4.3,6.9,5
12,980.3,4.9,6.1,5
13,979.9,5.1,6.8,5
13,979.9,5.0,6.3,5
10,979.6,5.5,8.4,5
10,978.5,5.6,10.8,5
8,977.7,5.5,14.2,5
6,976.6,6.0,17.1,5
4,975.7,6.1,17.5,5
4,975.0,5.5,19.1,5
3,974.3,3.4,19.7,5
4,973.5,4.4,19.1,5
5,973.2,4.1,17.9,5
10,973.9,4.8,16.4,5
12,977.0,2.8,8.8,5
12,977.5,3.3,7.0,5
12,979.9,2.5,6.8,5
12,980.2,2.6,6.2,5
12,979.4,2.4,6.0,5
12,979.7,2.7,5.9,5
13,979.5,2.8,4.6,6
15,979.9,2.0,3.5,6
15,979.3,2.1,3.7,6
15,978.9,2.2,3.8,6
15,979.0,2.7,3.9,6
12,978.4,0.6,4.9,6
12,979.0,1.1,4.8,6
12,978.8,1.6,5.9,6
11,979.1,1.8,7.7,6
11,978.6,2.0,9.7,6
9,977.7,1.4,10.9,6
4,977.1,0.2,11.7,6
3,976.2,-2.2,12.5,6
5,975.3,-1.4,12.9,6
8,974.8,-0.9,12.7,6
4,974.9,-0.5,12.0,6
2,975.5,4.1,8.7,6
2,976.8,2.0,5.4,6
13,976.9,2.2,4.7,6
17,977.2,2.3,4.3,6
20,977.1,1.5,3.6,6
20,976.7,1.3,3.2,6
20,977.0,1.1,3.3,6
20,977.1,0.2,2.8,0
20,977.1,-0.2,2.3,0
20,976.9,-0.8,3.1,0
20,977.3,-1.3,3.4,0
20,977.2,-2.2,3.4,0
18,978.3,-1.7,4.3,0
20,978.4,-1.5,6.7,0
20,978.3,-0.0,9.1,0
19,978.2,-1.6,10.8,0
17,978.2,-3.4,12.0,0
14,977.8,-3.8,12.5,0
12,976.7,-4.9,13.8,0
10,976.1,-4.3,14.0,0
16,975.7,-3.5,13.8,0
14,975.4,-3.0,13.4,0
15,975.4,-1.3,11.9,0
19,975.6,0.0,9.7,0
19,975.9,0.3,7.6,0
18,976.0,-1.0,7.4,0
17,975.9,-2.3,7.1,0
17,975.8,-1.3,6.4,0
18,976.2,-0.7,5.8,0
18,976.2,0.2,4.3,1
17,975.9,-2.1,4.5,1
17,975.1,-2.2,3.8,1
17,974.5,-2.6,2.9,1
17,974.1,-2.3,3.1,1
14,973.8,-2.2,3.1,1
13,973.9,-2.2,4.0,1
13,973.8,-1.9,6.7,1
19,973.1,-3.0,13.9,1
17,972.8,-1.5,14.6,1
13,972.0,-1.4,15.2,1
7,971.5,-0.1,15.3,1
13,970.9,0.4,15.9,1
14,970.4,-0.1,15.3,1
9,970.3,-0.6,14.7,1
10,970.4,0.5,13.5,1
8,970.5,-1.6,12.3,1
9,970.4,-0.4,11.4,1
13,970.0,-0.2,11.0,1
11,969.3,2.4,10.3,1
11,969.1,2.6,10.0,1
10,969.2,2.0,10.1,1
10,968.6,2.1,10.0,2
10,968.5,2.3,9.7,2
10,967.9,2.5,9.4,2
10,967.6,2.1,9.7,2
10,967.0,1.8,9.1,2
9,967.0,2.5,8.8,2
13,966.7,1.7,8.9,2
13,966.5,2.1,10.0,2
17,966.9,4.2,11.7,2
20,966.5,4.4,13.0,2
11,965.4,7.0,16.7,2
9,964.3,7.2,17.5,2
5,963.4,7.5,18.1,2
2,962.8,8.4,17.8,2
13,962.2,9.9,16.7,2
11,961.6,11.1,15.1,2
11,961.3,11.8,14.3,2
10,961.1,12.2,13.5,2
10,960.6,10.3,13.9,2
9,960.8,8.8,12.9,2
9,961.0,6.8,11.9,2
9,962.0,5.8,11.8,2
10,961.4,2.1,12.2,3
10,960.8,1.4,11.5,3
10,962.2,0.1,11.0,3
10,963.4,0.3,10.6,3
10,963.9,1.2,10.1,3
11,965.4,2.0,10.4,3
8,966.4,1.7,11.8,3
8,966.9,1.7,13.4,3
4,967.8,2.2,14.6,3
3,968.5,2.0,15.9,3
6,969.9,3.1,15.6,3
2,969.8,4.0,15.2,3
0,970.0,5.2,14.4,3
13,970.2,6.2,12.1,3
6,969.4,6.0,12.2,3
4,969.1,7.2,11.7,3
14,969.3,7.8,10.6,3
16,969.5,8.4,9.9,3
14,971.8,8.2,10.0,3
12,975.0,7.1,9.9,3
12,977.1,3.1,8.5,3
12,977.1,3.8,7.4,3
12,978.4,4.0,6.5,4
12,979.0,4.8,6.1,4
12,979.3,4.7,5.8,4
12,979.7,4.2,5.3,4
12,979.7,3.6,5.1,4
12,980.1,3.4,4.9,4
11,980.3,3.7,5.4,4
13,980.3,4.7,7.3,4
11,980.2,7.2,11.5,4
14,980.1,8.9,15.2,4
8,979.9,7.3,18.5,4
0,979.8,8.1,18.7,4
10,979.7,8.9,18.7,4
0,979.8,9.3,18.8,4
11,979.4,9.7,17.8,4
9,979.6,9.3,17.7,4
4,979.3,9.3,17.4,4
12,978.4,9.6,16.2,4
9,978.4,8.3,16.1,4
9,978.7,7.4,16.5,4
6,979.1,6.7,16.9,4
8,980.2,6.5,16.7,4
9,980.2,7.8,14.8,4
6,980.5,6.7,14.7,4
5,980.4,6.8,14.0,5
5,980.3,6.4,12.1,5
6,980.2,6.8,11.7,5
6,979.7,7.5,10.6,5
3,979.5,7.6,10.7,5
0,979.5,8.0,12.7,5
1,979.9,9.1,14.8,5
0,979.4,10.0,18.5,5
0,978.9,5.4,21.5,5
0,978.6,7.3,21.5,5
0,977.9,8.2,22.0,5
0,977.3,6.3,22.6,5
2,976.4,6.4,22.2,5
0,976.2,7.5,22.1,5
0,975.5,7.4,21.6,5
0,975.4,5.7,20.1,5
2,976.3,4.0,17.1,5
3,975.7,5.9,14.8,5
7,975.7,5.9,14.8,5
6,976.1,6.6,13.8,5
